Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jorge Eduardo Carinao Cardenas,M,B,Raw,24.0,24-34,24-39,Open,53.55,54,,,,,,,,,,148.0,,,,,,148.0,1,137.92,140.89,138.51,94.29,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,35.0,35-39,24-39,Open,58.75,59,,,,,,,,,,175.0,,,,,,175.0,1,150.31,152.18,148.78,105.85,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Sebastian Castro Rajdl,M,B,Raw,28.0,24-34,24-39,Open,71.0,72,,,,,,,,,,122.0,,,,,,122.0,6,90.75,90.45,87.6,66.52,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,33.0,24-34,24-39,Open,96.18,97,,,,,,,,,,170.0,,,,,,170.0,3,106.47,105.16,100.54,79.35,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Cristian Aguirre,M,B,Raw,41.0,40-44,40-49,Open,98.83,107,,,,,,,,,,157.0,,,,,,157.0,2,97.13,96.01,91.72,72.33,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Camila Campos,F,B,Raw,20.0,20-23,19-23,Open,53.8,55,,,,,,,,,,80.0,,,,,,80.0,2,95.26,97.13,86.0,74.38,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Maria Antonieta Ortiz,F,B,Raw,33.0,24-34,24-39,Open,66.04,67,,,,,,,,,,85.0,,,,,,85.0,1,88.88,88.14,77.78,69.19,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Heber Israel Leyton Sanchez,M,B,Raw,22.0,20-23,19-23,Open,45.84,49,,,,,,85.0,-91.0,91.0,,91.0,,,,,,91.0,14,98.97,102.67,101.74,63.33,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Diego E Silva Herrera,M,B,Raw,20.0,20-23,19-23,Open,48.17,49,,,,,,-90.0,90.0,-94.0,,90.0,,,,,,90.0,16,92.94,95.95,94.88,60.89,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Javier I Yajue Gomez,M,B,Raw,24.0,24-34,24-39,Open,53.24,54,,,,,,135.0,-140.0,141.0,,141.0,,,,,,141.0,10,132.1,135.02,132.79,90.13,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,41.0,40-44,40-49,Open,58.4,59,,,,,,-182.0,182.0,-184.0,,182.0,,,,,,182.0,3,157.11,159.16,155.66,110.45,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,30.0,24-34,24-39,Open,60.71,65,,,,,,-183.0,183.0,-187.0,,183.0,,,,,,183.0,7,152.98,154.42,150.69,108.68,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Cesar A Pina Alvarez,M,B,Raw,20.0,20-23,19-23,Open,67.69,72,,,,,,115.0,-120.0,120.0,,120.0,,,,,,120.0,24,92.3,92.31,89.6,67.13,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Jonathan G Astudillo Rozas,M,B,Raw,29.0,24-34,24-39,Open,75.91,80,,,,,,-145.0,145.0,150.0,,150.0,,,,,,150.0,19,106.79,106.0,102.37,78.92,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Matias A Reveco Caravel,M,B,Raw,25.0,24-34,24-39,Open,78.39,80,,,,,,140.0,145.0,150.0,,150.0,,,,,,150.0,20,104.7,103.75,100.05,77.6,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Nayadet F Garces Cardenas,F,B,Raw,24.0,24-34,24-39,Open,47.55,50,,,,,,-70.0,-70.0,-70.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Camila Campos,F,B,Raw,26.0,24-34,24-39,Open,54.17,55,,,,,,-112.0,112.0,-116.0,,112.0,,,,,,112.0,5,132.74,135.25,119.73,103.55,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Pamela D. Munoz Rojas,F,B,Raw,32.0,24-34,24-39,Open,67.0,67,,,,,,60.0,-67.0,-67.0,,60.0,,,,,,60.0,23,62.21,61.57,54.32,48.49,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Marion A Serrano Guajardo,F,B,Raw,22.0,20-23,19-23,Open,83.66,86,,,,,,118.0,122.0,-125.5,,122.0,,,,,,122.0,9,112.48,109.01,95.33,91.11,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Macarena P Montero Escalona,F,B,Raw,23.0,20-23,19-23,Open,80.18,86,,,,,,90.0,-94.0,-94.0,,90.0,,,,,,90.0,13,84.71,82.25,72.12,67.99,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,20.0,20-23,19-23,Open,54.58,56,,,,,,120.0,-125.0,-125.0,,120.0,,,,,,120.0,2,109.9,112.05,110.03,75.64,Yes,Chile,,WPPO,,2012-02-05,Malaysia,,Kuala Lumpur,Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,31.0,24-34,24-39,Open,59.7,60,,,,,,166.0,-171.0,-171.0,,166.0,,,,,,166.0,3,140.69,142.23,138.93,99.51,Yes,Chile,,WPPO,,2012-02-05,Malaysia,,Kuala Lumpur,Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,34.0,24-34,24-39,Open,58.16,59,,,,,,172.0,-176.0,-180.0,,172.0,,,,,,172.0,5,149.0,150.99,147.71,104.62,Yes,Chile,,WPPO,,2014-04-05,UAE,,Dubai,World Championships,Yes
Cristian Aguirre,M,B,Raw,40.0,40-44,40-49,Open,87.94,88,,,,,,157.0,-162.0,-162.0,,157.0,,,,,,157.0,24,102.73,101.44,97.32,76.58,Yes,Chile,,WPPO,,2014-04-05,UAE,,Dubai,World Championships,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,32.0,24-34,24-39,Open,93.82,97,,,,,,155.0,160.0,-166.0,,160.0,,,,,,160.0,15,101.37,100.1,95.77,75.59,Yes,Chile,,WPPO,,2014-04-05,UAE,,Dubai,World Championships,Yes
Lilian Herrera,F,B,Raw,41.0,40-44,40-49,Open,55.2,56,,,,,,-50.0,-50.0,-50.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2002-08-24,Malaysia,,Kuala Lumpur,World Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,22.0,20-23,19-23,Open,51.8,52,,,,,,115.0,-120.0,-122.5,,115.0,,,,,,115.0,10,110.55,113.3,111.61,74.66,Yes,Chile,,WPPO,,2002-08-24,Malaysia,,Kuala Lumpur,World Championships,Yes
Diego Enrique Silva Herrera,M,B,Raw,15.0,13-15,14-18,Juniors,44.6,49,,,,,,-51.0,51.0,-60.0,,51.0,,,,,,51.0,5,57.14,59.44,58.95,36.05,Yes,Chile,,WPPO,,2017-03-21,Brazil,,São Paulo,Youth Para Pan American Games,Yes
Antonia Fernanda Arcos Romero,F,B,Raw,15.0,13-15,14-18,Juniors,49.3,50,,,,,,30.0,32.0,-35.0,,32.0,,,,,,32.0,2,40.5,41.55,36.92,32.22,Yes,Chile,,WPPO,,2017-03-21,Brazil,,São Paulo,Youth Para Pan American Games,Yes
Marion Alejandra Serrano Guajardo,F,B,Raw,17.0,16-17,14-18,Juniors,77.1,79,,,,,,87.0,90.0,92.0,,92.0,,,,,,92.0,1,88.32,85.99,75.56,70.33,Yes,Chile,,WPPO,,2017-03-21,Brazil,,São Paulo,Youth Para Pan American Games,Yes
Alan Diaz,M,B,Raw,26.0,24-34,24-39,Open,44.6,49,,,,,,60.0,-72.0,-72.0,,60.0,,,,,,60.0,10,67.23,69.93,69.35,42.41,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Javier Ignacio Jimenez Cabrera,M,B,Raw,21.0,20-23,19-23,Open,52.6,54,,,,,,102.0,107.0,-110.0,,107.0,,,,,,107.0,4,101.38,103.75,102.1,68.86,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,38.0,35-39,24-39,Open,58.3,59,,,,,,170.0,177.0,-182.0,,177.0,,,,,,177.0,1,153.02,155.03,151.64,107.52,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,27.0,24-34,24-39,Open,59.5,65,,,,,,165.0,170.0,175.0,,175.0,,,,,,175.0,1,148.73,150.4,146.94,105.1,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Amaro Fica,M,B,Raw,25.0,24-34,24-39,Open,71.4,72,,,,,,140.0,-144.0,-144.0,,140.0,,,,,,140.0,10,103.74,103.36,100.08,76.1,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Sebastian Castro Rajdl,M,B,Raw,31.0,24-34,24-39,Open,71.5,72,,,,,,135.0,-140.0,-141.0,,135.0,,,,,,135.0,11,99.94,99.56,96.4,73.33,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Marcos Matamala,M,B,Raw,32.0,24-34,24-39,Open,87.9,88,,,,,,143.0,147.0,-153.0,,147.0,,,,,,147.0,6,96.21,95.0,91.15,71.72,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,36.0,35-39,24-39,Open,94.0,97,,,,,,-177.0,-177.0,177.0,,177.0,,,,,,177.0,5,112.04,110.63,105.85,83.54,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Camila Campos,F,B,Raw,23.0,20-23,19-23,Open,54.5,55,,,,,,102.0,106.0,-109.0,,106.0,,,,,,106.0,2,125.12,127.4,112.76,97.53,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Maria Antonieta Ortiz,F,B,Raw,36.0,35-39,24-39,Open,71.3,73,,,,,,97.0,102.0,106.0,,106.0,,,,,,106.0,1,106.1,104.14,91.76,83.36,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Pamela Dominique Munoz Rojas,F,B,Raw,29.0,24-34,24-39,Open,69.7,73,,,,,,62.0,65.0,-67.0,,65.0,,,,,,65.0,6,65.89,64.86,57.18,51.6,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Marion Alejandra Serrano Guajardo,F,B,Raw,19.0,18-19,19-23,Open,78.1,79,,,,,,-102.0,-102.0,103.0,106.0,103.0,,,,,,103.0,2,98.23,95.55,83.9,78.42,Yes,Chile,,WPPO,,2018-12-06,Colombia,,Bogotá,Americas Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,39.0,35-39,24-39,Open,58.05,59,,,,,,175.0,183.0,-187.0,,183.0,,,,,,183.0,1,158.78,160.94,157.45,111.43,Yes,Chile,,WPPO,,2019-04-25,Hungary,,Eger,World Cup,Yes
Cristian Aguirre,M,B,Raw,45.0,45-49,40-49,Open,71.5,72,,,,,,-143.0,143.0,-146.0,,143.0,,,,,,143.0,8,105.87,105.46,102.11,77.67,Yes,Chile,,WPPO,,2019-04-25,Hungary,,Eger,World Cup,Yes
Marion Alejandra Serrano Guajardo,F,B,Raw,19.0,18-19,19-23,Open,78.8,79,,,,,,-102.0,-102.0,107.0,,107.0,,,,,,107.0,1,101.59,98.75,86.67,81.24,Yes,Chile,,WPPO,,2019-04-25,Hungary,,Eger,World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,24.0,24-34,24-39,Open,53.15,54,,,,,,141.0,-147.0,147.0,,147.0,,,,,,147.0,2,137.94,141.01,138.69,94.05,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,35.0,35-39,24-39,Open,58.9,59,,,,,,175.0,-180.0,-186.0,,175.0,,,,,,175.0,2,149.99,151.82,148.41,105.7,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Sebastian Castro Rajdl,M,B,Raw,27.0,24-34,24-39,Open,71.25,72,,,,,,-122.0,-122.0,-122.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Amaro Fica,M,B,Raw,21.0,20-23,19-23,Open,71.65,72,,,,,,-120.0,-120.0,-120.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,33.0,24-34,24-39,Open,96.65,97,,,,,,170.0,-176.0,-181.0,,170.0,,,,,,170.0,5,106.23,104.94,100.31,79.16,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Cristian Aguirre,M,B,Raw,41.0,40-44,40-49,Open,98.7,107,,,,,,-167.0,167.0,172.0,,172.0,,,,,,172.0,4,106.48,105.24,100.54,79.29,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Camila Campos,F,B,Raw,20.0,20-23,19-23,Open,54.1,55,,,,,,65.0,70.0,-73.0,,70.0,,,,,,70.0,2,83.04,84.62,74.91,64.79,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Maria Antonieta Ortiz,F,B,Raw,33.0,24-34,24-39,Open,66.4,67,,,,,,85.0,90.0,-92.0,,90.0,,,,,,90.0,1,93.81,92.95,82.02,73.06,Yes,Chile,,WPPO,,2015-04-26,Mexico,DF,Mexico City,Americas Open Championships,Yes
Diego E Silva Herrera,M,B,Raw,20.0,20-23,19-23,Juniors,47.97,49,,,,,,82.0,87.0,-92.0,,87.0,,,,,,87.0,9,90.23,93.18,92.17,59.0,Yes,Chile,,WPPO,,2021-11-27,Georgia,,Tblisi,World Junior Championships,Yes
Cesar A Pina Alvarez,M,B,Raw,20.0,20-23,19-23,Juniors,68.12,72,,,,,,-111.0,-111.0,-111.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-11-27,Georgia,,Tblisi,World Junior Championships,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,25.0,24-34,24-39,Open,53.94,54,,,,,,145.0,150.0,-152.0,,150.0,,,,,,150.0,6,138.85,141.74,139.28,95.18,Yes,Chile,,WPPO,,2016-09-08,Brazil,,Rio De Janeiro,Paralympic Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,36.0,35-39,24-39,Open,58.86,59,,,,,,-185.0,-185.0,-186.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2016-09-08,Brazil,,Rio De Janeiro,Paralympic Games,Yes
Maria Antonieta Ortiz,F,B,Raw,34.0,24-34,24-39,Open,66.34,67,,,,,,98.0,-102.0,-102.0,,98.0,,,,,,98.0,4,102.2,101.28,89.37,79.59,Yes,Chile,,WPPO,,2016-09-08,Brazil,,Rio De Janeiro,Paralympic Games,Yes
Javier I. Jimenez Cabrera,M,B,Raw,23.0,20-23,24-39,Open,52.9,54,,,,,,117.0,123.0,-126.0,,123.0,,,,,,123.0,1,115.92,118.56,116.64,78.91,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,41.0,40-44,40-49,Open,58.4,59,,,,,,180.0,-182.0,-185.0,,180.0,,,,,,180.0,1,155.38,157.41,153.95,109.23,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,30.0,24-34,24-39,Open,59.5,65,,,,,,155.0,165.0,168.0,168.0,168.0,,,,,,168.0,1,142.78,144.39,141.06,100.9,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Camila Campos,F,B,Raw,26.0,24-34,24-39,Open,54.0,55,,,,,,107.0,-110.0,-110.0,,107.0,,,,,,107.0,2,127.09,129.53,114.68,99.18,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Pamela D. Munoz Rojas,F,B,Raw,31.0,24-34,24-39,Open,66.65,67,,,,,,-67.0,-67.0,-67.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Maria Antoineta Ortiz,F,B,Raw,39.0,35-39,24-39,Open,76.8,79,,,,,,-115.0,-115.0,-115.0,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Marion Alejandra Serrano Guajardo,F,B,Raw,21.0,20-23,19-23,Open,86.0,86,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-03-05,Colombia,,Bogota,Bogota Para Powerlifting World Cup,Yes
Javier Ignacio Jimenez Cabrera,M,B,Raw,23.0,20-23,24-39,Open,52.9,54,,,,,,,,,,123.0,,,,,,123.0,1,115.92,118.56,116.64,78.91,Yes,Chile,,WPPO,,2021-03-06,Colombia,,Bogota,Bogota World Cup,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,41.0,40-44,40-49,Open,58.4,59,,,,,,,,,,180.0,,,,,,180.0,1,155.38,157.41,153.95,109.23,Yes,Chile,,WPPO,,2021-03-06,Colombia,,Bogota,Bogota World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,30.0,24-34,24-39,Open,59.5,65,,,,,,,,,,168.0,,,,,,168.0,1,142.78,144.39,141.06,100.9,Yes,Chile,,WPPO,,2021-03-06,Colombia,,Bogota,Bogota World Cup,Yes
Camila Campos,F,B,Raw,26.0,24-34,24-39,Open,54.0,55,,,,,,,,,,107.0,,,,,,107.0,2,127.09,129.53,114.68,99.18,Yes,Chile,,WPPO,,2021-03-06,Colombia,,Bogota,Bogota World Cup,Yes
Pamela Dominique Munoz Rojas,F,B,Raw,31.0,24-34,24-39,Open,66.65,67,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-03-06,Colombia,,Bogota,Bogota World Cup,Yes
Maria Antonieta Ortiz,F,B,Raw,39.0,35-39,24-39,Open,76.8,79,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2021-03-06,Colombia,,Bogota,Bogota World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,20.0,20-23,19-23,Open,52.0,52,,,,,,112.0,117.0,-121.0,,117.0,,,,,,117.0,3,112.06,114.81,113.07,75.79,Yes,Chile,,WPPO,,2011-11-17,Mexico,JA,Guadalajara,Para Pan American Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,31.0,24-34,24-39,Open,59.1,60,,,,,,160.0,165.0,-171.0,,165.0,,,,,,165.0,1,141.02,142.69,139.46,99.47,Yes,Chile,,WPPO,,2011-11-17,Mexico,JA,Guadalajara,Para Pan American Games,Yes
Marion Alejandra Serrano Guajardo,F,B,Raw,18.0,18-19,14-18,Juniors,78.77,79,,,,,,94.0,-98.0,98.0,,98.0,,,,,,98.0,1,93.06,90.46,79.4,74.42,Yes,Chile,,WPPO,,2017-12-02,Mexico,DF,Mexico City,World Junior Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,41.0,40-44,40-49,Open,58.8,59,,,,,,,,,,180.0,,,,,,180.0,1,154.49,156.4,152.91,108.82,Yes,Chile,,WPPO,,2021-05-20,Georgia,,Tbilisi,Tbilisi World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,30.0,24-34,24-39,Open,60.2,65,,,,,,,,,,177.0,,,,,,177.0,1,148.99,150.5,146.94,105.61,Yes,Chile,,WPPO,,2021-05-20,Georgia,,Tbilisi,Tbilisi World Cup,Yes
Camila Campos,F,B,Raw,26.0,24-34,24-39,Open,54.5,55,,,,,,,,,,112.0,,,,,,112.0,3,132.2,134.61,119.15,103.05,Yes,Chile,,WPPO,,2021-05-20,Georgia,,Tbilisi,Tbilisi World Cup,Yes
Maria Antonieta Ortiz,F,B,Raw,39.0,35-39,24-39,Open,78.2,79,,,,,,,,,,121.0,,,,,,121.0,2,115.33,112.16,98.48,92.09,Yes,Chile,,WPPO,,2021-05-20,Georgia,,Tbilisi,Tbilisi World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,24.0,24-34,24-39,Open,55.05,59,,,,,,150.0,155.0,-158.0,,155.0,,,,,,155.0,8,140.86,143.5,140.84,97.23,Yes,Chile,,WPPO,,2015-11-24,Hungary,,Eger,European Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,35.0,35-39,24-39,Open,58.65,59,,,,,,-180.0,180.0,-184.0,,180.0,,,,,,180.0,3,154.83,156.78,153.29,108.97,Yes,Chile,,WPPO,,2015-11-24,Hungary,,Eger,European Open Championships,Yes
Camila Campos,F,B,Raw,20.0,20-23,19-23,Open,52.45,55,,,,,,81.0,-85.0,-85.0,,81.0,,,,,,81.0,7,98.14,100.31,88.88,76.95,Yes,Chile,,WPPO,,2015-11-24,Hungary,,Eger,European Open Championships,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,35.0,35-39,24-39,Open,58.27,59,,,,,,175.0,-181.0,186.0,,186.0,,,,,,186.0,1,160.87,162.99,159.43,113.02,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Jorge Eduardo Carinao Cardenas,M,B,Raw,24.0,24-34,24-39,Open,54.64,59,,,,,,138.0,142.0,-146.0,,142.0,,,,,,142.0,2,129.92,132.45,130.05,89.45,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Sebastian Castro,M,B,Raw,,,,Open,71.63,72,,,,,,125.0,130.0,-135.0,,130.0,,,,,,130.0,2,96.12,95.75,92.7,70.54,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Amaro Fica,M,B,Raw,22.0,20-23,19-23,Open,71.32,72,,,,,,115.0,-120.0,-120.0,,115.0,,,,,,115.0,3,85.28,84.97,82.28,62.55,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Frank Feliu,M,B,Raw,,,,Open,94.63,97,,,,,,157.0,165.0,172.0,,172.0,,,,,,172.0,2,108.54,107.18,102.52,80.91,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Julio Castillo,M,B,Raw,,,,Open,103.8,107,,,,,,110.0,120.0,-130.0,,120.0,,,,,,120.0,2,72.71,72.0,68.75,54.02,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Camila Campos,F,B,Raw,20.0,20-23,19-23,Open,53.92,55,,,,,,-81.0,81.0,86.0,,86.0,,,,,,86.0,1,102.25,104.23,92.28,79.81,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Maria Antonieta Ortiz,F,B,Raw,34.0,24-34,24-39,Open,66.33,67,,,,,,-87.0,87.0,91.0,,91.0,,,,,,91.0,1,94.91,94.06,83.0,73.91,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Marion Alejandra Serrano Guajardo,F,B,Raw,16.0,16-17,14-18,Open,77.42,79,,,,,,-60.0,60.0,65.0,,65.0,,,,,,65.0,1,62.27,60.61,53.24,49.62,Yes,Chile,,WPPO,,2016-01-21,Brazil,,Rio De Janeiro,World Cup,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,34.0,24-34,24-39,Open,58.05,59,,,,,,170.0,177.0,-182.0,,177.0,,,,,,177.0,1,153.57,155.66,152.29,107.77,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Sebastian Castro Rajdl,M,B,Raw,26.0,24-34,24-39,Open,70.38,72,,,,,,,,,,120.0,,,,,,120.0,2,89.8,89.56,86.77,65.73,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Amaro Fica,M,B,Raw,20.0,20-23,19-23,Open,69.41,72,,,,,,,,,,105.0,,,,,,105.0,5,79.34,79.2,76.78,57.95,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Cristian Aguirre,M,B,Raw,40.0,40-44,40-49,Open,84.85,88,,,,,,,,,,160.0,,,,,,160.0,3,106.7,105.44,101.32,79.47,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Julio Castillo,M,B,Raw,43.0,40-44,40-49,Open,95.01,97,,,,,,,,,,130.0,,,,,,130.0,4,81.88,80.86,77.33,61.04,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,32.0,24-34,24-39,Open,92.51,97,,,,,,,,,,152.0,,,,,,152.0,1,96.96,95.73,91.64,72.3,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Marcos Matamala,M,B,Raw,27.0,24-34,24-39,Open,102.28,107,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Camila Campos,F,B,Raw,19.0,18-19,19-23,Open,53.92,55,,,,,,52.0,57.0,-62.0,,57.0,,,,,,57.0,1,67.77,69.08,61.16,52.9,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Maria Antonieta Ortiz,F,B,Raw,32.0,24-34,24-39,Open,70.13,73,,,,,,,,,,76.0,,,,,,76.0,1,76.78,75.51,66.56,60.18,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,38.0,35-39,24-39,Group A,58.79,59,,,,,,176.0,-180.0,-182.0,,176.0,,,,,,176.0,3,151.08,152.95,149.53,106.41,Yes,Chile,,WPPO,,2018-09-08,Japan,,Kitakyushu,Asia-Oceania Open Championships,Yes
